"incident_county","incident_name","incident_acres_burned","incident_latitude","incident_longitude","incident_type","incident_date_created","incident_dateonly_created","created_year","created_month","incident_date_extinguished","incident_dateonly_extinguished","incident_id"
"Alameda","Grant Fire","484","37.75375","-121.57918","Wildfire","2018-05-30 06:21:00-07","2018-05-30","2018","5","2019-01-04 02:20:00-08","2019-01-04","503cf916-4f56-4be7-8083-730122f686dc"
"Siskiyou","IronGate Fire","10","41.94622","-122.40157","Wildfire","2019-06-16 13:33:00-07","2019-06-16","2019","6","2019-06-21 07:23:00-07","2019-06-21","fe63d965-9069-4a96-b9da-99d5fefdaa19"
"Merced","Merced Fire ","210","37.312877","-120.242411","Wildfire","2019-06-29 08:09:52-07","2019-06-29","2019","6","2019-07-02 08:51:00-07","2019-07-02","cc06431a-5153-4f66-8ada-07af53c175c3"
"Santa Clara","Coyote Fire","74","37.18904","-121.694968","Wildfire","2019-07-02 09:10:02-07","2019-07-02","2019","7","2019-07-02 11:32:00-07","2019-07-02","be4489fb-f51f-4109-8132-c7a28e0d9995"
"Alameda","Bikeway Fire","25","37.469","-121.3697","Wildfire","2019-07-05 02:46:01-07","2019-07-05","2019","7","2019-07-04 20:20:00-07","2019-07-05","65e8fbe1-5300-4c90-9f48-0e7bfe55b1bc"
"San Joaquin","Hollow Fire","283","37.63206","-121.538382","Wildfire","2019-07-03 08:34:12-07","2019-07-03","2019","7","2019-07-05 00:50:00-07","2019-07-05","89db8bb4-6e3b-4de7-b7d9-287c1a9032c0"
"Contra Costa","Fellow Fire","24","37.99837","-122.16201","Wildfire","2019-07-05 06:33:56-07","2019-07-05","2019","7","2019-07-05 07:58:00-07","2019-07-05","bc3e7037-5022-4e6a-8a1f-925c7e9aafc8"
"Lassen","Snowstorm Fire","263","40.679318","-120.392768","Wildfire","2019-07-05 09:37:04-07","2019-07-05","2019","7","2019-07-06 00:49:00-07","2019-07-06","0f965f2f-3977-4ba5-bf7c-29feef27ee82"
"Shasta","Ranch Fire","30","40.41741","-122.767256","Wildfire","2019-07-05 07:46:33-07","2019-07-05","2019","7","2019-07-06 13:03:00-07","2019-07-06","65330473-c21f-446b-a6f4-7bd76bf0ebdc"
"San Luis Obispo","Gillis Fire","1010","35.6311111","-120.2691666","Wildfire","2019-07-08 09:44:08-07","2019-07-08","2019","7","2019-07-09 11:22:00-07","2019-07-09","1fd11e53-a132-4b89-bc8f-f7061f685ad3"
"Monterey","Sargent Fire","190","35.95191","-120.8092","Wildfire","2019-07-09 14:43:36-07","2019-07-09","2019","7","2019-07-10 09:04:00-07","2019-07-10","f32eaf92-82dc-4c31-8a05-76c21845f078"
"Riverside","Gibbel Fire ","20","33.69055556","-116.953889","Wildfire","2019-07-11 09:27:17-07","2019-07-11","2019","7","2019-07-11 01:26:00-07","2019-07-11","6564081d-5ce7-4330-8ad7-2d1d976d778a"
"Alameda","Mid Fire","22","37.093243","-121.586846","Wildfire","2019-07-12 11:40:09-07","2019-07-12","2019","7","2019-07-12 12:20:00-07","2019-07-12","3fc9ae75-8844-43a5-8330-6956cdb6e3a7"
"Riverside","Orange fire","96","33.8128372","-117.1228851","Wildfire","2019-07-13 03:36:00-07","2019-07-13","2019","7","2019-07-13 08:13:00-07","2019-07-13","777caabb-3850-4db2-ba02-2d95fda38db6"
"Ventura","South Fire ","131","34.366111","-118.96","Wildfire","2019-07-14 04:45:00-07","2019-07-14","2019","7","2019-07-15 07:10:00-07","2019-07-15","c1574fd4-92ca-400f-84cb-b10f18ebb4bd"
"San Diego","Border Fire","100","32.566389","-116.7525","Wildfire","2019-07-12 06:20:39-07","2019-07-12","2019","7","2019-07-15 10:10:00-07","2019-07-15","8c46fde6-7a1c-482b-97cc-afff1bc5d27c"
"Santa Clara","Aborn Fire","47","37.32555556","-121.76444444","Wildfire","2019-07-15 04:12:00-07","2019-07-15","2019","7","2019-07-15 11:19:00-07","2019-07-15","42dab7c3-458f-4838-b70f-d5bb3d0f0b80"
"Stanislaus","Milton Fire ","202","37.944751","-120.84372","Wildfire","2019-07-15 03:49:00-07","2019-07-15","2019","7","2019-07-15 23:48:00-07","2019-07-16","a03c52ec-7366-43c5-965e-52e2b73df452"
"Madera","Madera Fire ","213","37.016944","-119.934167","Wildfire","2019-07-15 11:19:31-07","2019-07-15","2019","7","2019-07-15 23:49:00-07","2019-07-16","f2629bc3-1c8c-4a97-95fa-7d08566dc246"
"State of Nevada","Jasper Fire","1165","39.631945","-119.769881","Wildfire","2019-07-13 11:42:22-07","2019-07-13","2019","7","2019-07-16 01:50:00-07","2019-07-16","3086ac2b-bbb3-4321-81e3-3cfdb9e571e9"
"Lassen","Doyle Fire","193","40.072739","-120.158273","Wildfire","2019-07-14 07:02:31-07","2019-07-14","2019","7","2019-07-16 02:00:00-07","2019-07-16","0ab090de-1ec9-41db-b6cf-c7acd370626a"
"Riverside","Lincoln Fire","80","33.56938","-116.07896","Wildfire","2019-07-12 10:15:31-07","2019-07-12","2019","7","2019-07-17 03:00:00-07","2019-07-17","6311a921-f8e9-45c1-b10d-fee8be8dae29"
"Riverside","Meadow Fire","81","33.514658","-116.7884","Wildfire","2019-07-16 06:45:43-07","2019-07-16","2019","7","2019-07-17 14:29:00-07","2019-07-17","72384606-035c-4d00-8887-84a9da7d0e57"
"Stanislaus","Rains Fire","35","37.420988","-121.371276","Wildfire","2019-07-18 02:07:57-07","2019-07-18","2019","7","2019-07-18 03:29:00-07","2019-07-18","900997e0-f30a-48bf-9358-971ca2afa1d6"
"San Diego","Vista Fire","25","32.794768","-116.839743","Wildfire","2019-07-17 10:42:04-07","2019-07-17","2019","7","2019-07-18 08:58:00-07","2019-07-18","06fa2750-afea-4f88-b1c4-48b9bc21f4eb"
"Calaveras","Whiskey Fire","27","38.115224","-120.78068","Wildfire","2019-07-18 11:31:00-07","2019-07-18","2019","7","2019-07-20 01:56:00-07","2019-07-20","17596a7a-31fc-4270-8aaf-efe1df3ba848"
"Modoc","Goose 2 Fire","128","41.909","-120.306","Wildfire","2019-07-17 09:13:41-07","2019-07-17","2019","7","2019-07-20 02:05:00-07","2019-07-20","d5ebf295-49d5-4a6a-ae13-47a921355e19"
"El Dorado","Carson Fire","13","38.757636","-120.75664","Wildfire","2019-07-30 12:27:46-07","2019-07-30","2019","7","2019-07-30 23:47:00-07","2019-07-31","6ac64fee-1420-420c-bff1-1d4908b059be"
